Auto Deliveries,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Average Auto Deliveries per Robot Setup,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Team,Amp,Speaker,Trap,Miss,Total Att,Difference,Norm,,Team,Amp,Subwoofer,Podium,Source,,,,,,,,,,,,
frc1690,0,3,0,0,3,2,5,,frc4320,1,1,1,0,,,,,,,,,,,,
frc1577,1.3333333333333333,3.3333333333333335,0,0.3333333333333333,5,0,5,,frc1577,1,6.5,0,0,,,,,,,,,,,,
frc4320,0,1,0,0.25,1.25,3.75,5,,frc1690,0,0,6,1.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
frc4320,Amp Station - Auto Deliveries,,,,,,,,Amp Station Center Note Auto Contact Time,,,,,,,,,,,,,,,,
Scale,Divisions,L Amp,R Speak,All Amp,All Speak,Pointer,,,frc4320,1,2,3,4,5,6,7,8,9,10,11,12,,,,
L Red,25,-1.5,88.16666666666667,0,0,Actual Value,,,,1 (P),8 (S),15 (_),18 (_),22 (_),26 (_),35 (_),42 (_),46 (_),51 (_),55 (S),62 (A),,,,
L Yellow,50,1.5,1.5,0,1,Needle Width,,,,1,8,15,18,22,26,35,42,46,51,55,62,,,,
L Green,25,100,11.833333333333334,1.3333333333333333,3.75,Balance,,,Seconds,1,2,3,4,5,6,7,8,9,10,11,12,13.0,14.0,15.0,16.0
R Green,25,,,,,Event Low,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
R Yellow,50,Amp: 0,Spkr: 1,,,Team Value,,,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
R Red,25,,,,,Event High,,,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,
frc1577,Center Station - Auto Deliveries,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Scale,Divisions,L Amp,R Speak,All Amp,All Speak,Pointer,,,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,
L Red,25,48.5,57.05555555555555,0,0,Actual Value,,,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,
L Yellow,50,1.5,1.5,1.3333333333333333,3.3333333333333335,Needle Width,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,
L Green,25,50,42.94444444444445,1.3333333333333333,3.75,Balance,,,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,
R Green,25,,,,,Event Low,,,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,
R Yellow,50,Amp: 1.33,Spkr: 3.33,,,Team Value,,,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
R Red,25,,,,,Event High,,,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,
frc1690,Source Station - Auto Deliveries,,,,,,,,Center Station Center Note Auto Contact Time,,,,,,,,,,,,,,,,
Scale,Divisions,L Amp,R Speak,All Amp,All Speak,Pointer,,,frc1577,1,2,3,4,5,6,7,8,9,10,11,12,,,,
L Red,25,-1.5,61.5,0,0,Actual Value,,,,2 (A),9 (_),15 (_),19 (_),21 (_),27 (_),32 (_),39 (_),43 (_),48 (_),57 (S),62 (S),,,,
L Yellow,50,1.5,1.5,0,3,Needle Width,,,,2,9,15,19,21,27,32,39,43,48,57,62,,,,
L Green,25,100,38.5,1.3333333333333333,3.75,Balance,,,Seconds,1,2,3,4,5,6,7,8,9,10,11,12,13.0,14.0,15.0,16.0
R Green,25,,,,,Event Low,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
R Yellow,50,Amp: 0,Spkr: 3,,,Team Value,,,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
R Red,25,,,,,Event High,,,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,Source Station Center Note Auto Contact Time,,,,,,,,,,,,,,,,
,,,,,,,,,frc1690,1,2,3,4,5,6,7,8,9,10,11,12,,,,
,,,,,,,,,,1 (P),11 (_),14 (_),17 (_),22 (_),30 (_),32 (_),40 (_),46 (_),49 (_),55 (O),62 (O),,,,
,,,,,,,,,,1,11,14,17,22,30,32,40,46,49,55,62,,,,
,,,,,,,,,Seconds,1,2,3,4,5,6,7,8,9,10,11,12,13.0,14.0,15.0,16.0
,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,3.62,,,,
,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,
